,t,fronters_count,fit
26748,1071.88,2.5733333333333333,1.8581586254476743
26749,1071.92,2.566666666666667,1.8581586254476743
26750,1071.96,2.56,1.8581586254476743
26751,1072.0,2.5533333333333332,1.8581586254476743
26752,1072.04,2.54,1.8581586254476743
26753,1072.08,2.533333333333333,1.8581586254476743
26754,1072.12,2.5266666666666664,1.8581586254476743
26755,1072.16,2.52,1.8581586254476743
26756,1072.2,2.5133333333333336,1.8581586254476743
26757,1072.24,2.5066666666666664,1.8581586254476743
26758,1072.28,2.5,1.8581586254476743
26759,1072.32,2.4933333333333336,1.8581586254476743
26760,1072.36,2.4866666666666664,1.8581586254476743
26761,1072.4,2.48,1.8581586254476743
26762,1072.44,2.4733333333333336,1.8581586254476743
26763,1072.48,2.466666666666667,1.8581586254476743
26764,1072.52,2.46,1.8581586254476743
26765,1072.56,2.4533333333333336,1.8581586254476743
26766,1072.6,2.4466666666666668,1.8581586254476743
26767,1072.64,2.44,1.8581586254476743
26768,1072.68,2.4333333333333336,1.8581586254476743
26769,1072.72,2.4266666666666667,1.8581586254476743
26770,1072.76,2.4200000000000004,1.8581586254476743
26771,1072.8,2.4133333333333336,1.8581586254476743
