frame,Unnamed: 0,frame,x,y,r,particle
880,650,880,662.5,775.5,30.7,0
881,651,881,662.5,775.5,30.7,0
882,652,882,661.5,775.5,30.7,0
883,653,883,661.5,776.5,30.3,0
884,654,884,661.5,776.5,30.5,0
885,655,885,661.5,775.5,30.6,0
886,656,886,661.5,775.5,30.9,0
887,657,887,662.5,774.5,30.5,0
889,658,889,661.5,775.5,30.7,0
891,659,891,662.5,775.5,30.8,0
892,660,892,660.5,774.5,30.8,0
893,661,893,660.5,774.5,30.9,0
896,662,896,653.5,756.5,35.3,0
897,663,897,664.5,779.5,30.8,0
902,664,902,660.5,774.5,30.7,0
903,665,903,662.5,774.5,30.5,0
906,666,906,659.5,772.5,30.7,0
909,667,909,662.5,779.5,33.0,0
910,668,910,662.5,778.5,31.8,0
913,669,913,665.5,779.5,33.1,0
919,670,919,659.5,773.5,30.8,0
923,671,923,662.5,772.5,30.7,0
924,672,924,662.5,771.5,30.3,0
929,673,929,661.5,772.5,30.6,0
930,674,930,661.5,772.5,30.7,0
932,675,932,659.5,770.5,31.6,0
936,676,936,661.5,771.5,31.0,0
939,677,939,660.5,771.5,30.9,0
940,678,940,662.5,771.5,30.8,0
941,679,941,661.5,771.5,31.1,0
944,680,944,659.5,774.5,31.9,0
946,681,946,659.5,775.5,33.1,0
947,682,947,662.5,769.5,30.5,0
949,683,949,661.5,770.5,30.7,0
950,684,950,662.5,769.5,30.7,0
954,685,954,660.5,769.5,30.8,0
963,686,963,661.5,766.5,30.5,0
964,687,964,662.5,766.5,30.5,0
971,688,971,663.5,764.5,30.3,0
972,689,972,664.5,763.5,30.5,0
973,690,973,664.5,764.5,30.4,0
978,691,978,661.5,767.5,31.9,0
981,692,981,663.5,762.5,31.0,0
984,693,984,667.5,763.5,32.0,0
987,694,987,662.5,764.5,30.8,0
990,695,990,666.5,763.5,31.8,0
